rep_id,learners,time,langval_all,prop_biased
54,SAM,100 iterations,0.7205,0% biased agents
45,SAM,200 iterations,0.7707,0% biased agents
61,SAM,50 iterations,0.7304,0% biased agents
59,SAM,100 iterations,0.7709,0% biased agents
64,SAM,100 iterations,0.7784,0% biased agents
52,SAM,200 iterations,0.7598,0% biased agents
55,SAM,100 iterations,0.7219,0% biased agents
53,SAM,150 iterations,0.7519,0% biased agents
56,SAM,100 iterations,0.6518,0% biased agents
57,SAM,100 iterations,0.7524,0% biased agents
51,SAM,150 iterations,0.7456,0% biased agents
58,SAM,100 iterations,0.7304,0% biased agents
63,SAM,50 iterations,0.7394,0% biased agents
54,SAM,150 iterations,0.7268,0% biased agents
60,SAM,100 iterations,0.7532,0% biased agents
65,SAM,50 iterations,0.7816,0% biased agents
59,SAM,150 iterations,0.771,0% biased agents
64,SAM,150 iterations,0.7685,0% biased agents
66,SAM,50 iterations,0.7509,0% biased agents
62,SAM,50 iterations,0.7219,0% biased agents
56,SAM,150 iterations,0.6521,0% biased agents
55,SAM,150 iterations,0.7186,0% biased agents
67,SAM,50 iterations,0.7119,0% biased agents
61,SAM,100 iterations,0.7196,0% biased agents
57,SAM,150 iterations,0.751,0% biased agents
51,SAM,200 iterations,0.7453,0% biased agents
53,SAM,200 iterations,0.7496,0% biased agents
54,SAM,200 iterations,0.7149,0% biased agents
71,SAM,50 iterations,0.6964,0% biased agents
69,SAM,50 iterations,0.7442,0% biased agents
64,SAM,200 iterations,0.7686,0% biased agents
63,SAM,100 iterations,0.7371,0% biased agents
58,SAM,150 iterations,0.7244,0% biased agents
68,SAM,50 iterations,0.7844,0% biased agents
56,SAM,200 iterations,0.6394,0% biased agents
65,SAM,100 iterations,0.766,0% biased agents
70,SAM,50 iterations,0.7344,0% biased agents
59,SAM,200 iterations,0.7683,0% biased agents
60,SAM,150 iterations,0.7478,0% biased agents
55,SAM,200 iterations,0.7136,0% biased agents
71,SAM,100 iterations,0.6885,0% biased agents
57,SAM,200 iterations,0.7471,0% biased agents
75,SAM,50 iterations,0.7584,0% biased agents
66,SAM,100 iterations,0.7452,0% biased agents
68,SAM,100 iterations,0.7858,0% biased agents
62,SAM,100 iterations,0.7243,0% biased agents
63,SAM,150 iterations,0.7379,0% biased agents
69,SAM,100 iterations,0.7472,0% biased agents
67,SAM,100 iterations,0.7072,0% biased agents
61,SAM,150 iterations,0.7173,0% biased agents
58,SAM,200 iterations,0.721,0% biased agents
71,SAM,150 iterations,0.6925,0% biased agents
60,SAM,200 iterations,0.7438,0% biased agents
74,SAM,50 iterations,0.7368,0% biased agents
75,SAM,100 iterations,0.7617,0% biased agents
72,SAM,50 iterations,0.7235,0% biased agents
76,SAM,50 iterations,0.7068,0% biased agents
70,SAM,100 iterations,0.7319,0% biased agents
63,SAM,200 iterations,0.7383,0% biased agents
73,SAM,50 iterations,0.7691,0% biased agents
68,SAM,150 iterations,0.7892,0% biased agents
65,SAM,150 iterations,0.7606,0% biased agents
69,SAM,150 iterations,0.7491,0% biased agents
61,SAM,200 iterations,0.7208,0% biased agents
67,SAM,150 iterations,0.7098,0% biased agents
66,SAM,150 iterations,0.7421,0% biased agents
75,SAM,150 iterations,0.758,0% biased agents
74,SAM,100 iterations,0.7296,0% biased agents
71,SAM,200 iterations,0.6972,0% biased agents
77,SAM,50 iterations,0.7559,0% biased agents
72,SAM,100 iterations,0.7176,0% biased agents
76,SAM,100 iterations,0.7018,0% biased agents
62,SAM,150 iterations,0.7215,0% biased agents
78,SAM,50 iterations,0.7721,0% biased agents
65,SAM,200 iterations,0.7589,0% biased agents
75,SAM,200 iterations,0.7624,0% biased agents
74,SAM,150 iterations,0.726,0% biased agents
68,SAM,200 iterations,0.7859,0% biased agents
70,SAM,150 iterations,0.7294,0% biased agents
73,SAM,100 iterations,0.7727,0% biased agents
69,SAM,200 iterations,0.7466,0% biased agents
66,SAM,200 iterations,0.7409,0% biased agents
67,SAM,200 iterations,0.7085,0% biased agents
76,SAM,150 iterations,0.6939,0% biased agents
82,SAM,50 iterations,0.7463,0% biased agents
72,SAM,150 iterations,0.72,0% biased agents
77,SAM,100 iterations,0.7451,0% biased agents
80,SAM,50 iterations,0.6936,0% biased agents
79,SAM,50 iterations,0.749,0% biased agents
62,SAM,200 iterations,0.7162,0% biased agents
78,SAM,100 iterations,0.7798,0% biased agents
84,SAM,50 iterations,0.7492,0% biased agents
81,SAM,50 iterations,0.756,0% biased agents
74,SAM,200 iterations,0.7269,0% biased agents
86,SAM,50 iterations,0.7781,0% biased agents
83,SAM,50 iterations,0.7052,0% biased agents
70,SAM,200 iterations,0.7209,0% biased agents
76,SAM,200 iterations,0.6962,0% biased agents
73,SAM,150 iterations,0.7721,0% biased agents
82,SAM,100 iterations,0.7469,0% biased agents
77,SAM,150 iterations,0.7457,0% biased agents
80,SAM,100 iterations,0.6972,0% biased agents
72,SAM,200 iterations,0.7225,0% biased agents
86,SAM,100 iterations,0.7665,0% biased agents
84,SAM,100 iterations,0.7554,0% biased agents
78,SAM,150 iterations,0.7711,0% biased agents
81,SAM,100 iterations,0.7592,0% biased agents
88,SAM,50 iterations,0.7156,0% biased agents
87,SAM,50 iterations,0.7983,0% biased agents
79,SAM,100 iterations,0.7419,0% biased agents
90,SAM,50 iterations,0.7265,0% biased agents
85,SAM,50 iterations,0.7262,0% biased agents
83,SAM,100 iterations,0.6973,0% biased agents
86,SAM,150 iterations,0.7605,0% biased agents
84,SAM,150 iterations,0.7513,0% biased agents
82,SAM,150 iterations,0.7392,0% biased agents
94,SAM,50 iterations,0.7286,0% biased agents
89,SAM,50 iterations,0.7111,0% biased agents
73,SAM,200 iterations,0.7762,0% biased agents
77,SAM,200 iterations,0.7468,0% biased agents
92,SAM,50 iterations,0.7493,0% biased agents
91,SAM,50 iterations,0.7324,0% biased agents
93,SAM,50 iterations,0.766,0% biased agents
78,SAM,200 iterations,0.7754,0% biased agents
81,SAM,150 iterations,0.7626,0% biased agents
80,SAM,150 iterations,0.7029,0% biased agents
86,SAM,200 iterations,0.76,0% biased agents
84,SAM,200 iterations,0.7472,0% biased agents
94,SAM,100 iterations,0.736,0% biased agents
87,SAM,100 iterations,0.7902,0% biased agents
88,SAM,100 iterations,0.712,0% biased agents
90,SAM,100 iterations,0.7318,0% biased agents
95,SAM,50 iterations,0.6489,0% biased agents
82,SAM,200 iterations,0.7395,0% biased agents
85,SAM,100 iterations,0.7258,0% biased agents
83,SAM,150 iterations,0.6981,0% biased agents
92,SAM,100 iterations,0.7405,0% biased agents
79,SAM,150 iterations,0.7358,0% biased agents
89,SAM,100 iterations,0.7115,0% biased agents
94,SAM,150 iterations,0.738,0% biased agents
81,SAM,200 iterations,0.7643,0% biased agents
91,SAM,100 iterations,0.7276,0% biased agents
93,SAM,100 iterations,0.7692,0% biased agents
95,SAM,100 iterations,0.6431,0% biased agents
87,SAM,150 iterations,0.7844,0% biased agents
99,SAM,50 iterations,0.7439,0% biased agents
80,SAM,200 iterations,0.6999,0% biased agents
92,SAM,150 iterations,0.739,0% biased agents
97,SAM,50 iterations,0.7664,0% biased agents
90,SAM,150 iterations,0.7306,0% biased agents
85,SAM,150 iterations,0.7262,0% biased agents
94,SAM,200 iterations,0.7377,0% biased agents
89,SAM,150 iterations,0.7148,0% biased agents
83,SAM,200 iterations,0.6983,0% biased agents
95,SAM,150 iterations,0.6437,0% biased agents
79,SAM,200 iterations,0.7266,0% biased agents
99,SAM,100 iterations,0.7404,0% biased agents
100,SAM,50 iterations,0.6971,0% biased agents
87,SAM,200 iterations,0.7858,0% biased agents
88,SAM,150 iterations,0.7092,0% biased agents
92,SAM,200 iterations,0.738,0% biased agents
101,MAP,50 iterations,0.8455,0% biased agents
93,SAM,150 iterations,0.7731,0% biased agents
91,SAM,150 iterations,0.7223,0% biased agents
98,SAM,50 iterations,0.7631,0% biased agents
96,SAM,50 iterations,0.7753,0% biased agents
95,SAM,200 iterations,0.6449,0% biased agents
99,SAM,150 iterations,0.738,0% biased agents
97,SAM,100 iterations,0.7682,0% biased agents
100,SAM,100 iterations,0.6785,0% biased agents
90,SAM,200 iterations,0.7318,0% biased agents
85,SAM,200 iterations,0.7204,0% biased agents
89,SAM,200 iterations,0.7096,0% biased agents
101,MAP,100 iterations,0.8532,0% biased agents
98,SAM,100 iterations,0.7442,0% biased agents
99,SAM,200 iterations,0.7304,0% biased agents
104,MAP,50 iterations,0.848,0% biased agents
100,SAM,150 iterations,0.6741,0% biased agents
88,SAM,200 iterations,0.7066,0% biased agents
93,SAM,200 iterations,0.7741,0% biased agents
96,SAM,100 iterations,0.7759,0% biased agents
91,SAM,200 iterations,0.7231,0% biased agents
102,MAP,50 iterations,0.8455,0% biased agents
97,SAM,150 iterations,0.7651,0% biased agents
103,MAP,50 iterations,0.7597,0% biased agents
105,MAP,50 iterations,0.7789,0% biased agents
106,MAP,50 iterations,0.7494,0% biased agents
101,MAP,150 iterations,0.8522,0% biased agents
100,SAM,200 iterations,0.6697,0% biased agents
98,SAM,150 iterations,0.7504,0% biased agents
108,MAP,50 iterations,0.8121,0% biased agents
110,MAP,50 iterations,0.7278,0% biased agents
96,SAM,150 iterations,0.7694,0% biased agents
104,MAP,100 iterations,0.8428,0% biased agents
107,MAP,50 iterations,0.8585,0% biased agents
113,MAP,50 iterations,0.7956,0% biased agents
109,MAP,50 iterations,0.7476,0% biased agents
111,MAP,50 iterations,0.765,0% biased agents
102,MAP,100 iterations,0.8518,0% biased agents
97,SAM,200 iterations,0.7602,0% biased agents
101,MAP,200 iterations,0.8581,0% biased agents
103,MAP,100 iterations,0.7544,0% biased agents
105,MAP,100 iterations,0.7735,0% biased agents
98,SAM,200 iterations,0.7532,0% biased agents
108,MAP,100 iterations,0.8187,0% biased agents
106,MAP,100 iterations,0.75,0% biased agents
104,MAP,150 iterations,0.8403,0% biased agents
112,MAP,50 iterations,0.8423,0% biased agents
116,MAP,50 iterations,0.7726,0% biased agents
114,MAP,50 iterations,0.8429,0% biased agents
96,SAM,200 iterations,0.7677,0% biased agents
107,MAP,100 iterations,0.8606,0% biased agents
115,MAP,50 iterations,0.8475,0% biased agents
113,MAP,100 iterations,0.8001,0% biased agents
102,MAP,150 iterations,0.8518,0% biased agents
111,MAP,100 iterations,0.7698,0% biased agents
117,MAP,50 iterations,0.849,0% biased agents
109,MAP,100 iterations,0.7552,0% biased agents
105,MAP,150 iterations,0.7751,0% biased agents
110,MAP,100 iterations,0.7343,0% biased agents
104,MAP,200 iterations,0.8426,0% biased agents
108,MAP,150 iterations,0.8174,0% biased agents
103,MAP,150 iterations,0.7496,0% biased agents
107,MAP,150 iterations,0.8602,0% biased agents
106,MAP,150 iterations,0.7549,0% biased agents
119,MAP,50 iterations,0.7747,0% biased agents
114,MAP,100 iterations,0.8426,0% biased agents
116,MAP,100 iterations,0.7693,0% biased agents
112,MAP,100 iterations,0.8426,0% biased agents
102,MAP,200 iterations,0.8533,0% biased agents
113,MAP,150 iterations,0.8028,0% biased agents
115,MAP,100 iterations,0.8514,0% biased agents
117,MAP,100 iterations,0.8487,0% biased agents
108,MAP,200 iterations,0.8151,0% biased agents
109,MAP,150 iterations,0.7517,0% biased agents
107,MAP,200 iterations,0.859,0% biased agents
110,MAP,150 iterations,0.7278,0% biased agents
111,MAP,150 iterations,0.7699,0% biased agents
105,MAP,200 iterations,0.7732,0% biased agents
120,MAP,50 iterations,0.8162,0% biased agents
122,MAP,50 iterations,0.8763,0% biased agents
119,MAP,100 iterations,0.7736,0% biased agents
113,MAP,200 iterations,0.8024,0% biased agents
118,MAP,50 iterations,0.8342,0% biased agents
116,MAP,150 iterations,0.7708,0% biased agents
114,MAP,150 iterations,0.8463,0% biased agents
103,MAP,200 iterations,0.7488,0% biased agents
106,MAP,200 iterations,0.753,0% biased agents
115,MAP,150 iterations,0.8497,0% biased agents
109,MAP,200 iterations,0.7515,0% biased agents
117,MAP,150 iterations,0.854,0% biased agents
112,MAP,150 iterations,0.8417,0% biased agents
111,MAP,200 iterations,0.7766,0% biased agents
124,MAP,50 iterations,0.8088,0% biased agents
123,MAP,50 iterations,0.8007,0% biased agents
122,MAP,100 iterations,0.8772,0% biased agents
120,MAP,100 iterations,0.8177,0% biased agents
110,MAP,200 iterations,0.7257,0% biased agents
125,MAP,50 iterations,0.737,0% biased agents
119,MAP,150 iterations,0.7812,0% biased agents
121,MAP,50 iterations,0.7437,0% biased agents
118,MAP,100 iterations,0.8271,0% biased agents
127,MAP,50 iterations,0.8092,0% biased agents
114,MAP,200 iterations,0.8409,0% biased agents
126,MAP,50 iterations,0.803,0% biased agents
116,MAP,200 iterations,0.7755,0% biased agents
124,MAP,100 iterations,0.8116,0% biased agents
112,MAP,200 iterations,0.8413,0% biased agents
125,MAP,100 iterations,0.7377,0% biased agents
115,MAP,200 iterations,0.8495,0% biased agents
117,MAP,200 iterations,0.8524,0% biased agents
123,MAP,100 iterations,0.8123,0% biased agents
120,MAP,150 iterations,0.8195,0% biased agents
130,MAP,50 iterations,0.8325,0% biased agents
127,MAP,100 iterations,0.803,0% biased agents
129,MAP,50 iterations,0.8307,0% biased agents
121,MAP,100 iterations,0.7393,0% biased agents
119,MAP,200 iterations,0.7778,0% biased agents
124,MAP,150 iterations,0.8139,0% biased agents
125,MAP,150 iterations,0.7278,0% biased agents
122,MAP,150 iterations,0.8808,0% biased agents
131,MAP,50 iterations,0.8573,0% biased agents
118,MAP,150 iterations,0.8221,0% biased agents
128,MAP,50 iterations,0.7458,0% biased agents
126,MAP,100 iterations,0.8016,0% biased agents
123,MAP,150 iterations,0.8238,0% biased agents
130,MAP,100 iterations,0.8336,0% biased agents
132,MAP,50 iterations,0.8385,0% biased agents
