"sampling_stratregy","agent_number","mean_delta","time_max","prop_biased"
"MAP",92,0.147651006711409,"150","0% biased agents"
"MAP",93,0.308724832214765,"150","0% biased agents"
"MAP",94,0.174496644295302,"150","0% biased agents"
"MAP",95,0.348993288590604,"150","0% biased agents"
"MAP",96,0.281879194630872,"150","0% biased agents"
"MAP",97,0.402684563758389,"150","0% biased agents"
"MAP",98,0.416107382550336,"150","0% biased agents"
"MAP",99,0.241610738255034,"150","0% biased agents"
"MAP",101,0.395973154362416,"150","0% biased agents"
"MAP",102,0.48993288590604,"150","0% biased agents"
"SAM",2,0.422818791946309,"150","0% biased agents"
"SAM",3,0.409395973154362,"150","0% biased agents"
"SAM",4,0.295302013422819,"150","0% biased agents"
"SAM",5,0.268456375838926,"150","0% biased agents"
"SAM",6,0.51006711409396,"150","0% biased agents"
"SAM",7,0.469798657718121,"150","0% biased agents"
"SAM",8,0.409395973154362,"150","0% biased agents"
"SAM",9,0.536912751677852,"150","0% biased agents"
"SAM",10,0.51006711409396,"150","0% biased agents"
"SAM",11,0.328859060402685,"150","0% biased agents"
"SAM",12,0.422818791946309,"150","0% biased agents"
"SAM",13,0.442953020134228,"150","0% biased agents"
"SAM",14,0.476510067114094,"150","0% biased agents"
"SAM",15,0.429530201342282,"150","0% biased agents"
"SAM",16,0.369127516778524,"150","0% biased agents"
"SAM",17,0.422818791946309,"150","0% biased agents"
"SAM",18,0.281879194630872,"150","0% biased agents"
"SAM",19,0.375838926174497,"150","0% biased agents"
"SAM",20,0.422818791946309,"150","0% biased agents"
"SAM",21,0.369127516778524,"150","0% biased agents"
"SAM",22,0.469798657718121,"150","0% biased agents"
"SAM",23,0.483221476510067,"150","0% biased agents"
"SAM",24,0.503355704697987,"150","0% biased agents"
"SAM",25,0.402684563758389,"150","0% biased agents"
"SAM",26,0.463087248322148,"150","0% biased agents"
"SAM",27,0.48993288590604,"150","0% biased agents"
"SAM",28,0.51006711409396,"150","0% biased agents"
"SAM",29,0.36241610738255,"150","0% biased agents"
"SAM",30,0.530201342281879,"150","0% biased agents"
"SAM",31,0.469798657718121,"150","0% biased agents"
"SAM",32,0.369127516778524,"150","0% biased agents"
"SAM",33,0.590604026845638,"150","0% biased agents"
"SAM",34,0.442953020134228,"150","0% biased agents"
"SAM",35,0.402684563758389,"150","0% biased agents"
"SAM",36,0.268456375838926,"150","0% biased agents"
"SAM",37,0.355704697986577,"150","0% biased agents"
"SAM",38,0.463087248322148,"150","0% biased agents"
"SAM",39,0.348993288590604,"150","0% biased agents"
"SAM",40,0.38255033557047,"150","0% biased agents"
"SAM",41,0.322147651006711,"150","0% biased agents"
"SAM",42,0.308724832214765,"150","0% biased agents"
"SAM",43,0.342281879194631,"150","0% biased agents"
"SAM",44,0.503355704697987,"150","0% biased agents"
"SAM",45,0.214765100671141,"150","0% biased agents"
"SAM",46,0.261744966442953,"150","0% biased agents"
"SAM",47,0.389261744966443,"150","0% biased agents"
"SAM",48,0.48993288590604,"150","0% biased agents"
"SAM",49,0.483221476510067,"150","0% biased agents"
"SAM",50,0.275167785234899,"150","0% biased agents"
"SAM",51,0.442953020134228,"150","0% biased agents"
"SAM",52,0.322147651006711,"150","0% biased agents"
"SAM",53,0.496644295302013,"150","0% biased agents"
"SAM",54,0.449664429530201,"150","0% biased agents"
"SAM",55,0.456375838926175,"150","0% biased agents"
"SAM",56,0.429530201342282,"150","0% biased agents"
"SAM",57,0.429530201342282,"150","0% biased agents"
"SAM",58,0.36241610738255,"150","0% biased agents"
"SAM",59,0.402684563758389,"150","0% biased agents"
"SAM",60,0.36241610738255,"150","0% biased agents"
"SAM",61,0.389261744966443,"150","0% biased agents"
"SAM",62,0.48993288590604,"150","0% biased agents"
"SAM",63,0.429530201342282,"150","0% biased agents"
"SAM",64,0.38255033557047,"150","0% biased agents"
"SAM",65,0.416107382550336,"150","0% biased agents"
"SAM",66,0.483221476510067,"150","0% biased agents"
"SAM",67,0.335570469798658,"150","0% biased agents"
"SAM",68,0.51006711409396,"150","0% biased agents"
"SAM",69,0.416107382550336,"150","0% biased agents"
"SAM",70,0.463087248322148,"150","0% biased agents"
"SAM",71,0.469798657718121,"150","0% biased agents"
"SAM",72,0.241610738255034,"150","0% biased agents"
"SAM",73,0.201342281879195,"150","0% biased agents"
"SAM",74,0.268456375838926,"150","0% biased agents"
"SAM",75,0.496644295302013,"150","0% biased agents"
"SAM",76,0.463087248322148,"150","0% biased agents"
"SAM",77,0.402684563758389,"150","0% biased agents"
"SAM",78,0.348993288590604,"150","0% biased agents"
"SAM",79,0.375838926174497,"150","0% biased agents"
"SAM",80,0.503355704697987,"150","0% biased agents"
"SAM",81,0.308724832214765,"150","0% biased agents"
"SAM",82,0.536912751677852,"150","0% biased agents"
"SAM",83,0.389261744966443,"150","0% biased agents"
"SAM",84,0.469798657718121,"150","0% biased agents"
"SAM",85,0.543624161073825,"150","0% biased agents"
"SAM",86,0.208053691275168,"150","0% biased agents"
"SAM",87,0.449664429530201,"150","0% biased agents"
"SAM",88,0.348993288590604,"150","0% biased agents"
"SAM",89,0.315436241610738,"150","0% biased agents"
"SAM",90,0.429530201342282,"150","0% biased agents"
"SAM",91,0.288590604026846,"150","0% biased agents"
"SAM",92,0.25503355704698,"150","0% biased agents"
"SAM",93,0.516778523489933,"150","0% biased agents"
"SAM",94,0.51006711409396,"150","0% biased agents"
"SAM",95,0.241610738255034,"150","0% biased agents"
"SAM",96,0.530201342281879,"150","0% biased agents"
"SAM",97,0.442953020134228,"150","0% biased agents"
"SAM",98,0.369127516778524,"150","0% biased agents"
"SAM",99,0.25503355704698,"150","0% biased agents"
